Local SKU Code,Myntra SKU ID,SKU ID
BW10K28_Brown_WTC-XL,BNWMWACO109391244,109391244
BW10K28_Brown_WTC-XS,BNWMWACO109391236,109391236
BW10K28_Brown_WTC-XXL,BNWMWACO109391246,109391246
BW10K28_Grey_WTC-M,BNWMWACO109391360,109391360
BW10K28_Grey_WTC-S,BNWMWACO109391359,109391359
BW10K28_Grey_WTC-XL,BNWMWACO109391362,109391362
BW10K28_Grey_WTC-XS,BNWMWACO109391358,109391358
BW10K28_Grey_WTC-XXL,BNWMWACO109391363,109391363
BW10K29_Blue_WTC-L,BNWMWACO109391243,109391243
BW10K29_Blue_WTC-M,BNWMWACO109391241,109391241
BW10K29_Blue_WTC-S,BNWMWACO109391239,109391239
BW10K29_Blue_WTC-XL,BNWMWACO109391245,109391245
BW10K29_Blue_WTC-XS,BNWMWACO109391237,109391237
BW10K29_Blue_WTC-XXL,BNWMWACO109391247,109391247
BW10K29_Green_WTC-L,BNWMWACO109391269,109391269
BW10K29_Green_WTC-M,BNWMWACO109391268,109391268
BW10K29_Green_WTC-S,BNWMWACO109391267,109391267
BW10K29_Green_WTC-XL,BNWMWACO109391270,109391270
BW10K29_Green_WTC-XS,BNWMWACO109391266,109391266
BW10K29_Green_WTC-XXL,BNWMWACO109391271,109391271
BW10K34_BLUE_COD-L,Not Listed,#N/A
BW10K34_BLUE_COD-M,Not Listed,#N/A
BW10K34_BLUE_COD-S,Not Listed,#N/A
BW10K34_BLUE_COD-XL,Not Listed,#N/A
BW10K34_BLUE_COD-XS,Not Listed,#N/A
BW10K34_BLUE_COD-XXL,Not Listed,#N/A
BW10K34_GREEN_COD-L,Not Listed,#N/A
BW10K34_GREEN_COD-M,Not Listed,#N/A
BW10K34_GREEN_COD-XL,Not Listed,#N/A
BW10K34_GREEN_COD-XXL,Not Listed,#N/A
BW10K39_Brown_TOP-L,BNWMTOPS109391383,109391383
