Local_SKU,Myntra_SKU,SKU_ID,Category,Nykaa_SKU
BP8052TEAL_COD-3XL,BNWMCOORD81357220,81357220,Co-Ords,BANIW00004435
BP8056BRN_COD-5XL,BNWMCOORD81357172,81357172,Co-Ords,BANIW00004441
BP9002_Coord_Green-3XL,BNWMCOORD95185910,95185910,Co-Ords,BANIW00004988
BP9002_Coord_Green-4XL,BNWMCOORD95185912,95185912,Co-Ords,BANIW00004989
BP9002_Coord_Green-5XL,BNWMCOORD95185914,95185914,Co-Ords,BANIW00004990
BP9002_Coord_Green-6XL,BNWMCOORD95185916,95185916,Co-Ords,BANIW00004991
BP9002_Coord_Magenta-4XL,BNWMCOORD95185932,95185932,Co-Ords,#N/A
BP9002_Coord_Magenta-5XL,BNWMCOORD95185934,95185934,Co-Ords,#N/A
BP9002_Coord_Magenta-6XL,BNWMCOORD95185938,95185938,Co-Ords,#N/A
BP9003_Coord_Navy-3XL,BNWMCOORD95185894,95185894,Co-Ords,BANIW00004992
BP9003_Coord_Navy-4XL,BNWMCOORD95185898,95185898,Co-Ords,BANIW00004993
BP9003_Coord_Navy-5XL,BNWMCOORD95185900,95185900,Co-Ords,BANIW00004994
BP9003_Coord_Navy-6XL,BNWMCOORD95185904,95185904,Co-Ords,BANIW00004995
BP9003_Coord_Red-3XL,BNWMCOORD95185948,95185948,Co-Ords,BANIW00006242
BP9003_Coord_Red-4XL,BNWMCOORD95185950,95185950,Co-Ords,BANIW00006243
BP9003_Coord_Red-5XL,BNWMCOORD95185952,95185952,Co-Ords,BANIW00006244
BP9003_Coord_Red-6XL,BNWMCOORD95185954,95185954,Co-Ords,BANIW00006245
BP9004_Coord_Brown-3XL,BNWMCOORD95185918,95185918,Co-Ords,BANIW00004996
BP9008_Coord_Aqua-6XL,BNWMCOORD95562388,95562388,Co-Ords,BANIW00006249
BP9008_Coord_Pink-3XL,BNWMCOORD95562324,95562324,Co-Ords,BANIW00006208
BP9008_Coord_Pink-4XL,BNWMCOORD95562330,95562330,Co-Ords,BANIW00006209
BP9008_Coord_Pink-5XL,BNWMCOORD95562336,95562336,Co-Ords,BANIW00006210
BP9008_Coord_Pink-6XL,BNWMCOORD95562342,95562342,Co-Ords,BANIW00006211
BP9009AQUA_SKD-3XL,BNWMKASS95979671,95979671,Kurta Sets,BANIW00005839
BP9009AQUA_SKD-4XL,BNWMKASS95979673,95979673,Kurta Sets,BANIW00005840
BP9009AQUA_SKD-5XL,BNWMKASS95979675,95979675,Kurta Sets,BANIW00005841
BP9009AQUA_SKD-6XL,BNWMKASS95979676,95979676,Kurta Sets,BANIW00005842
BP9009PINK_SKD-3XL,BNWMKASS95979670,95979670,Kurta Sets,BANIW00005031
BP9009PINK_SKD-4XL,BNWMKASS95979672,95979672,Kurta Sets,BANIW00005032
BP9010AQUA_SKD-3XL,BNWMKASS95556088,95556088,Kurta Sets,BANIW00005843
BP9010PINK_SKD-3XL,BNWMKASS95556086,95556086,Kurta Sets,BANIW00005035
BP9011_Dress_Black_3XL,BNWMETHDR95185998,95185998,Ethnic Dresses,BANIW00005228
BP9011_Dress_Black_4XL,BNWMETHDR95186006,95186006,Ethnic Dresses,BANIW00005229
BP9011_Dress_Black_5XL,BNWMETHDR95186008,95186008,Ethnic Dresses,BANIW00005230
BP9011_Dress_Black_6XL,BNWMETHDR95186010,95186010,Ethnic Dresses,BANIW00005231
BP9011_Dress_Teal_3XL,BNWMETHDR95185996,95185996,Ethnic Dresses,BANIW00005224
BP9011_Dress_Teal_4XL,BNWMETHDR95186000,95186000,Ethnic Dresses,BANIW00005225
BP9011_Dress_Teal_5XL,BNWMETHDR95186002,95186002,Ethnic Dresses,BANIW00005226
BP9011_Dress_Teal_6XL,BNWMETHDR95186004,95186004,Ethnic Dresses,BANIW00005227
BP9012_Coord_Aqua-3XL,BNWMCOORD95562328,95562328,Co-Ords,BANIW00006250
BP9012_Coord_Aqua-4XL,BNWMCOORD95562334,95562334,Co-Ords,BANIW00006251
BP9012_Coord_Aqua-5XL,BNWMCOORD95562340,95562340,Co-Ords,BANIW00006252
BP9012_Coord_Aqua-6XL,BNWMCOORD95562346,95562346,Co-Ords,BANIW00006253
BP9012_Coord_Peach-4XL,BNWMCOORD95562376,95562376,Co-Ords,BANIW00006255
BP9012_Coord_Peach-5XL,BNWMCOORD95562378,95562378,Co-Ords,BANIW00006256
BP9012_Coord_Peach-6XL,BNWMCOORD95562380,95562380,Co-Ords,BANIW00006257
BP9013_Coord_Lime-3XL,BNWMCOORD95562348,95562348,Co-Ords,BANIW00006258
BP9013_Coord_Lime-4XL,BNWMCOORD95562350,95562350,Co-Ords,BANIW00006259
BP9013_Coord_Lime-5XL,BNWMCOORD95562352,95562352,Co-Ords,BANIW00006260
BP9013_Coord_Lime-6XL,BNWMCOORD95562354,95562354,Co-Ords,BANIW00006261
BP9013_Coord_Mauve-3XL,BNWMCOORD95562326,95562326,Co-Ords,BANIW00006262
BP9013_Coord_Mauve-4XL,BNWMCOORD95562332,95562332,Co-Ords,BANIW00006263
BP9013_Coord_Mauve-5XL,BNWMCOORD95562338,95562338,Co-Ords,BANIW00006264
BP9013_Coord_Mauve-6XL,BNWMCOORD95562344,95562344,Co-Ords,BANIW00006265
BP9014_Coord_Green-4XL,BNWMCOORD95562368,95562368,Co-Ords,BANIW00004989
BP9014_Coord_Peach-3XL,BNWMCOORD95562356,95562356,Co-Ords,BANIW00006266
BP9014_Coord_Peach-4XL,BNWMCOORD95562358,95562358,Co-Ords,BANIW00006267
BP9014_Coord_Peach-5XL,BNWMCOORD95562360,95562360,Co-Ords,BANIW00006268
BP9014_Coord_Peach-6XL,BNWMCOORD95562362,95562362,Co-Ords,BANIW00006269
BP9015_Dress_Blue-4XL,BNWMDRSS95572504,95572504,Dresses,#N/A
BP9015_Dress_Blue-6XL,BNWMDRSS95572508,95572508,Dresses,#N/A
BP9015_Dress_Mauve-6XL,BNWMDRSS95572500,95572500,Dresses,#N/A
BP9034_LGR_COD-3XL,BNWMCOORD98690777,98690777,Co-Ords,BANIW00005626
BP9034_LGR_COD-4XL,BNWMCOORD98690778,98690778,Co-Ords,BANIW00005627
BP9034_LGR_COD-5XL,BNWMCOORD98690779,98690779,Co-Ords,BANIW00005628
BP9034_LGR_COD-6XL,BNWMCOORD98690780,98690780,Co-Ords,BANIW00005629
